percent	matched	wrong
0.03527336801801409	2	0
0.03527336801801409	2	0
0.03527336801801409	2	0
0.03527336801801409	2	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.05269496951784406	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.052910052027021134	3	0
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.07054673603602818	4	1
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08796833753585816	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.08818342004503522	5	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.1056050215448652	6	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	0
0.12324170555387225	7	1
0.12324170555387225	7	1
0.12324170555387225	7	1
0.12324170555387225	7	1
0.12324170555387225	7	1
0.12324170555387225	7	1
0.12324170555387225	7	1
0.12324170555387225	7	1
0.12324170555387225	7	1
0.12324170555387225	7	1
0.12324170555387225	7	1
0.12324170555387225	7	1
0.12324170555387225	7	1
0.12324170555387225	7	1
0.12324170555387225	7	1
0.12324170555387225	7	1
0.12324170555387225	7	1
0.12324170555387225	7	1
0.12324170555387225	7	1
